# Instrument ID;# Key Min;# Key Max;# Attack Mode;# Attack Shift;# Attack Step;#Decay Shift;# Sustain level;# Sustain Mode;# Sustain Direction;# Sustain Shift;# Sustain Step;# Release Step;# Release Mode;# Release Shift;# Volume;# Panning;# Sample Source
128;36;36;0;0;0;15;15;0;0;0;0;0;0;15;300;127;samples/kick.wav
128;40;40;0;0;0;15;15;0;0;0;0;0;0;15;300;127;samples/snare.wav
128;41;41;0;0;0;15;15;0;0;0;0;0;0;15;300;97;samples/low_tom1.wav
128;42;42;0;0;0;15;15;0;0;0;0;0;0;15;300;127;samples/chh.wav
128;43;43;0;0;0;15;15;0;0;0;0;0;0;15;300;67;samples/low_tom2.wav
128;45;45;0;0;0;15;15;0;0;0;0;0;0;15;300;127;samples/mid_tom2.wav
128;46;46;0;0;0;15;15;0;0;0;0;0;0;15;300;160;samples/ohh.wav
128;49;49;0;0;0;15;15;0;0;0;0;0;0;15;300;192;samples/crash1.wav
128;55;55;0;0;0;15;15;0;0;0;0;0;0;15;300;100;samples/splash.wav
128;57;57;0;0;0;15;15;0;0;0;0;0;0;15;300;64;samples/crash2.wav
29;0;127;0;0;0;15;13;0;0;0;0;0;0;9;78;127;samples/guitar1.wav
30;0;42;0;0;0;15;13;0;0;0;0;0;0;9;78;127;samples/guitar2_d3.wav
30;43;48;0;0;0;15;13;0;0;0;0;0;0;9;78;127;samples/guitar2_g3.wav
30;49;127;0;6;0;15;13;0;0;0;0;0;0;9;78;127;samples/guitar2_cs4.wav
28;0;127;0;0;0;0;15;0;0;0;0;0;0;4;200;127;samples/muted_guitar.wav
14;0;127;0;0;0;15;0;0;1;31;0;0;0;0;175;127;samples/bell.wav
95;0;127;0;12;0;0;15;0;0;0;0;0;0;13;66;127;samples/saw_pad.wav
33;0;127;0;0;0;15;0;0;1;31;0;0;0;3;120;127;samples/bass.wav
34;0;127;0;0;0;15;0;0;1;31;0;0;0;3;120;127;samples/bass.wav
52;0;68;0;12;0;0;15;0;0;0;0;0;0;13;123;127;samples/choir1.wav
52;69;75;0;12;0;0;15;0;0;0;0;0;0;13;123;127;samples/choir2.wav
52;76;127;0;12;0;0;15;0;0;0;0;0;0;13;123;127;samples/choir3.wav
128;48;48;0;0;0;15;15;0;0;0;0;0;0;0;300;187;samples/high_tom2.wav
128;47;47;0;0;0;15;15;0;0;0;0;0;0;0;300;157;samples/mid_tom1.wav
27;0;127;0;0;0;15;13;0;0;0;0;0;0;9;78;127;samples/clean_guitar.wav
128;38;38;0;0;0;15;15;0;0;0;0;0;0;15;300;127;samples/snare2.wav
128;51;51;0;0;0;15;15;0;0;0;0;0;0;15;300;127;samples/ride.wav
